sample_id	chrom	start	end	label	source
0	chr1	167297624	167298648	0	non_cpg_random
1	chr1	50415809	50416833	1	cpg_centered
2	chr1	67980269	67981293	0	non_cpg_random
3	chr1	151090469	151091493	0	non_cpg_random
4	chr1	65147774	65148798	1	cpg_centered
5	chr1	114146183	114147207	0	non_cpg_random
6	chr1	56571314	56572338	0	non_cpg_random
7	chr1	205662475	205663499	1	cpg_centered
8	chr1	64146035	64147059	0	non_cpg_random
9	chr1	175166965	175167989	0	non_cpg_random
10	chr1	68056101	68057125	0	non_cpg_random
11	chr1	248811595	248812619	1	cpg_centered
12	chr1	112955711	112956735	1	cpg_centered
13	chr1	1630137	1631161	1	cpg_centered
14	chr1	1296868	1297892	1	cpg_centered
15	chr1	1163421	1164445	1	cpg_centered
16	chr1	112743615	112744639	1	cpg_centered
17	chr1	9823269	9824293	1	cpg_centered
18	chr1	1246221	1247245	1	cpg_centered
19	chr1	42816649	42817673	1	cpg_centered
20	chr1	229512848	229513872	0	non_cpg_random
21	chr1	143651276	143652300	1	cpg_centered
22	chr1	4160957	4161981	1	cpg_centered
23	chr1	213502654	213503678	0	non_cpg_random
24	chr1	77544820	77545844	0	non_cpg_random
25	chr1	113252580	113253604	0	non_cpg_random
26	chr1	105390926	105391950	0	non_cpg_random
27	chr1	120013238	120014262	0	non_cpg_random
28	chr1	112191969	112192993	0	non_cpg_random
29	chr1	9721773	9722797	0	non_cpg_random
30	chr1	10667091	10668115	0	non_cpg_random
31	chr1	79874208	79875232	0	non_cpg_random
32	chr1	21344834	21345858	1	cpg_centered
33	chr1	100596416	100597440	0	non_cpg_random
34	chr1	80637748	80638772	0	non_cpg_random
35	chr1	29122749	29123773	1	cpg_centered
36	chr1	112706636	112707660	1	cpg_centered
37	chr1	196856322	196857346	0	non_cpg_random
38	chr1	108772191	108773215	0	non_cpg_random
39	chr1	236376930	236377954	0	non_cpg_random
40	chr1	125077069	125078093	0	non_cpg_random
41	chr1	9588554	9589578	1	cpg_centered
42	chr1	115642005	115643029	1	cpg_centered
43	chr1	54362211	54363235	0	non_cpg_random
44	chr1	45505506	45506530	0	non_cpg_random
45	chr1	50335254	50336278	0	non_cpg_random
46	chr1	58620718	58621742	0	non_cpg_random
47	chr1	209805634	209806658	1	cpg_centered
48	chr1	228639219	228640243	1	cpg_centered
49	chr1	98053424	98054448	1	cpg_centered
50	chr1	192717715	192718739	0	non_cpg_random
51	chr1	18644907	18645931	1	cpg_centered
52	chr1	33624617	33625641	1	cpg_centered
53	chr1	52500664	52501688	0	non_cpg_random
